"","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year"
"665094",1384455,20181634,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","01/02/2018 12:48:00 PM","01/02/2018 12:20:00 PM","01/02/2018 12:48:00 PM","26XX BLOCK OF SW BARTON ST","F","F2","11402.1028",-122.36730957,47.521026611,"(47.521026611, -122.36730957)",1,2018
"645598",1348280,2017474481,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","12/27/2017 09:40:00 AM","12/26/2017 06:00:00 PM","12/27/2017 08:00:00 AM","1XX BLOCK OF E ALLISON ST","D","D3","6100.3006",-122.323951721,47.648967743,"(47.648967743, -122.323951721)",12,2017
"559456",446339,200831250,"2999",0,"PROPERTY DAMAGE - GRAFFITI","2900","PROPERTY DAMAGE","01/24/2008 11:55:00 AM","01/21/2008 05:00:00 PM","01/21/2008 11:00:00 PM","35XX BLOCK OF SW AVALON WY","W","W2","10500.1000",-122.376819391,47.564076872,"(47.564076872, -122.376819391)",1,2008
"280009",1572358,2008130224,"2902",0,"PROPERTY DAMAGE-RESIDENTIAL","2900","PROPERTY DAMAGE","04/11/2008 03:27:00 PM","03/01/2008 12:01:00 AM","04/11/2008 01:50:00 PM","25XX BLOCK OF SHORELAND DR S","R","R2","9500.3010",-122.285995483,47.581436157,"(47.581436157, -122.285995483)",4,2008
"58643",1088908,2016438961,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","12/06/2016 04:20:00 PM","12/06/2016 06:30:00 AM","","24XX BLOCK OF 2 AV","D","D1","8001.2007",-122.347419739,47.615085602,"(47.615085602, -122.347419739)",12,2016
"102407",1132069,201751146,"2204",0,"BURGLARY-NOFORCE-RES","2200","BURGLARY","02/11/2017 09:34:00 AM","02/10/2017 10:00:00 PM","02/11/2017 09:00:00 AM","42XX BLOCK OF 5 AV NE","B","B3","5200.3004",-122.322998047,47.658306122,"(47.658306122, -122.322998047)",2,2017
"239101",1532954,201817600,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","01/15/2018 11:28:00 AM","01/14/2018 12:00:00 PM","01/15/2018 06:15:00 AM","24XX BLOCK OF 32 AV W","Q","Q1","5700.3013",-122.398330688,47.639797211,"(47.639797211, -122.398330688)",1,2018
"676882",1589271,201862524,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","02/19/2018 10:23:00 PM","01/21/2018 09:00:00 AM","02/19/2018 01:11:00 PM","83XX BLOCK OF 17 AV NW","J","J2","3000.2007",-122.378952026,47.689666748,"(47.689666748, -122.378952026)",2,2018
"413816",278583,2010413439,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","11/30/2010 10:13:00 AM","11/30/2010 06:30:00 AM","11/30/2010 09:00:00 AM","4XX BLOCK OF W HIGHLAND DR","Q","Q2","6900.3013",-122.36246621,47.629594102,"(47.629594102, -122.36246621)",11,2010
"412829",277416,2010422156,"3599",6,"NARC-SELL-PILL/TABLET","3500","NARCOTICS","12/07/2010 06:19:00 PM","12/07/2010 06:19:00 PM","","3XX BLOCK OF NE 91 ST","L","L2","1900.3000",-122.326409708,47.694981993,"(47.694981993, -122.326409708)",12,2010
